date,value,category
2025-12-10,703,C3
2025-12-09,186,C3
2025-12-08,912,C2
2025-12-07,799,C3
2025-12-06,383,C3
2025-12-05,831,C3
2025-12-04,385,C4
2025-12-03,80,C4
2025-12-02,678,C2
2025-12-01,819,C4
2025-11-30,907,C1
2025-11-29,718,C1
2025-11-28,349,C4
2025-11-27,856,C1
2025-11-26,899,C1
2025-11-25,16,C1
2025-11-24,627,C4
2025-11-23,465,C1
2025-11-22,326,C3
2025-11-21,349,C4
2025-11-20,497,C2
2025-11-19,420,C2
2025-11-18,362,C1
2025-11-17,261,C3
2025-11-16,905,C1
2025-11-15,215,C4
2025-11-14,484,C3
2025-11-13,58,C2
2025-11-12,972,C1
2025-11-11,713,C1
2025-11-10,185,C3
2025-11-09,857,C4
2025-11-08,223,C3
2025-11-07,214,C3
2025-11-06,796,C2
2025-11-05,392,C4
2025-11-04,603,C2
2025-11-03,391,C4
2025-11-02,545,C4
2025-11-01,449,C1
2025-10-31,817,C4
2025-10-30,100,C4
2025-10-29,490,C3
2025-10-28,614,C2
2025-10-27,150,C1
2025-10-26,377,C1
2025-10-25,28,C2
2025-10-24,584,C2
2025-10-23,754,C2
2025-10-22,689,C4
2025-10-21,541,C4
2025-10-20,809,C4
2025-10-19,964,C2
2025-10-18,831,C4
2025-10-17,880,C1
2025-10-16,35,C1
2025-10-15,985,C4
2025-10-14,29,C4
2025-10-13,844,C3
2025-10-12,276,C1
2025-10-11,972,C4
2025-10-10,351,C2
2025-10-09,20,C2
2025-10-08,178,C1
2025-10-07,863,C1
2025-10-06,967,C3
2025-10-05,791,C2
2025-10-04,815,C4
2025-10-03,504,C2
2025-10-02,527,C1
2025-10-01,337,C3
2025-09-30,274,C2
2025-09-29,102,C1
2025-09-28,984,C2
2025-09-27,881,C4
2025-09-26,456,C1
2025-09-25,857,C3
2025-09-24,325,C2
2025-09-23,26,C3
2025-09-22,891,C2
2025-09-21,459,C4
2025-09-20,934,C2
2025-09-19,825,C2
2025-09-18,172,C3
2025-09-17,133,C1
2025-09-16,989,C4
2025-09-15,373,C1
2025-09-14,912,C1
2025-09-13,78,C1
2025-09-12,943,C3
2025-09-11,741,C3
2025-09-10,433,C3
2025-09-09,766,C3
2025-09-08,146,C3
2025-09-07,478,C2
2025-09-06,237,C2
2025-09-05,252,C1
2025-09-04,313,C3
2025-09-03,918,C3
2025-09-02,23,C4
2025-09-01,581,C4
2025-08-31,725,C2
2025-08-30,923,C3
2025-08-29,194,C2
2025-08-28,283,C4
2025-08-27,189,C3
2025-08-26,122,C4
2025-08-25,337,C3
2025-08-24,373,C4
2025-08-23,498,C4
2025-08-22,392,C3
2025-08-21,954,C1
2025-08-20,685,C3
2025-08-19,307,C3
2025-08-18,529,C4
2025-08-17,12,C4
2025-08-16,307,C4
2025-08-15,961,C1
2025-08-14,901,C4
2025-08-13,777,C2
2025-08-12,535,C4
2025-08-11,445,C2
2025-08-10,218,C1
2025-08-09,862,C4
2025-08-08,722,C3
2025-08-07,222,C2
2025-08-06,102,C3
2025-08-05,623,C3
2025-08-04,706,C3
2025-08-03,164,C1
2025-08-02,245,C3
2025-08-01,332,C4
2025-07-31,260,C2
2025-07-30,875,C2
2025-07-29,129,C1
2025-07-28,743,C4
2025-07-27,951,C3
2025-07-26,733,C1
2025-07-25,440,C4
2025-07-24,859,C2
2025-07-23,195,C1
2025-07-22,702,C4
2025-07-21,590,C3
2025-07-20,823,C3
2025-07-19,932,C4
2025-07-18,549,C1
2025-07-17,124,C4
2025-07-16,477,C3
2025-07-15,354,C2
2025-07-14,771,C4
2025-07-13,615,C4
2025-07-12,685,C4
2025-07-11,500,C4
2025-07-10,968,C4
2025-07-09,760,C3
2025-07-08,673,C3
2025-07-07,283,C2
2025-07-06,843,C2
2025-07-05,535,C4
2025-07-04,961,C2
2025-07-03,79,C2
2025-07-02,53,C4
2025-07-01,759,C4
2025-06-30,991,C1
2025-06-29,429,C4
2025-06-28,408,C3
2025-06-27,986,C4
2025-06-26,51,C1
2025-06-25,926,C1
2025-06-24,572,C4
2025-06-23,733,C4
2025-06-22,962,C1
2025-06-21,990,C4
2025-06-20,50,C1
2025-06-19,581,C1
2025-06-18,910,C3
2025-06-17,126,C3
2025-06-16,838,C4
2025-06-15,800,C2
2025-06-14,422,C1
2025-06-13,434,C1
2025-06-12,184,C1
2025-06-11,23,C3
2025-06-10,791,C4
2025-06-09,620,C1
2025-06-08,377,C3
2025-06-07,151,C4
2025-06-06,982,C2
2025-06-05,134,C2
2025-06-04,855,C4
2025-06-03,234,C1
2025-06-02,637,C2
2025-06-01,198,C4
2025-05-31,600,C4
2025-05-30,478,C1
2025-05-29,617,C1
2025-05-28,921,C1
2025-05-27,148,C1
2025-05-26,771,C2
2025-05-25,439,C4
2025-05-24,245,C2
2025-05-23,342,C4
2025-05-22,976,C3
2025-05-21,569,C4
2025-05-20,86,C1
2025-05-19,277,C1
2025-05-18,137,C3
2025-05-17,901,C3
2025-05-16,274,C2
2025-05-15,635,C3
2025-05-14,853,C3
2025-05-13,907,C2
2025-05-12,814,C1
2025-05-11,37,C1
2025-05-10,471,C3
2025-05-09,22,C4
2025-05-08,86,C4
2025-05-07,913,C2
2025-05-06,405,C3
2025-05-05,960,C2
2025-05-04,30,C2
2025-05-03,566,C1
2025-05-02,202,C2
2025-05-01,146,C4
2025-04-30,398,C1
2025-04-29,983,C1
2025-04-28,318,C3
2025-04-27,466,C1
2025-04-26,621,C2
2025-04-25,611,C1
2025-04-24,939,C3
2025-04-23,52,C1
2025-04-22,72,C1
2025-04-21,229,C1
2025-04-20,960,C4
2025-04-19,595,C3
2025-04-18,533,C2
2025-04-17,319,C4
2025-04-16,685,C1
2025-04-15,138,C2
2025-04-14,968,C2
2025-04-13,481,C1
2025-04-12,394,C4
2025-04-11,108,C3
2025-04-10,98,C1
2025-04-09,861,C3
2025-04-08,649,C3
2025-04-07,697,C1
2025-04-06,995,C2
2025-04-05,842,C1
2025-04-04,943,C2
2025-04-03,121,C4
2025-04-02,601,C2
2025-04-01,27,C1
2025-03-31,863,C3
2025-03-30,411,C2
2025-03-29,684,C3
2025-03-28,892,C1
2025-03-27,234,C4
2025-03-26,503,C2
2025-03-25,477,C1
2025-03-24,164,C3
2025-03-23,499,C2
2025-03-22,897,C2
2025-03-21,772,C4
2025-03-20,161,C2
2025-03-19,137,C1
2025-03-18,343,C1
2025-03-17,217,C1
2025-03-16,703,C1
2025-03-15,487,C1
2025-03-14,865,C4
2025-03-13,584,C4
2025-03-12,874,C3
2025-03-11,601,C1
2025-03-10,432,C2
2025-03-09,151,C3
2025-03-08,553,C4
2025-03-07,781,C1
2025-03-06,356,C1
2025-03-05,148,C1
2025-03-04,34,C1
2025-03-03,698,C2
2025-03-02,44,C2
2025-03-01,734,C3
2025-02-28,743,C4
2025-02-27,663,C3
2025-02-26,877,C2
2025-02-25,617,C3
2025-02-24,339,C4
2025-02-23,919,C1
2025-02-22,268,C2
2025-02-21,158,C1
2025-02-20,353,C2
2025-02-19,317,C2
2025-02-18,281,C4
2025-02-17,663,C2
2025-02-16,512,C1
2025-02-15,580,C2
2025-02-14,827,C4
2025-02-13,860,C1
2025-02-12,172,C3
2025-02-11,720,C2
2025-02-10,668,C1
2025-02-09,597,C1
2025-02-08,427,C3
2025-02-07,368,C3
2025-02-06,688,C4
2025-02-05,224,C1
2025-02-04,231,C1
2025-02-03,381,C3
2025-02-02,554,C2
2025-02-01,987,C1
2025-01-31,528,C4
2025-01-30,544,C4
2025-01-29,729,C4
2025-01-28,502,C4
2025-01-27,804,C2
2025-01-26,903,C2
2025-01-25,291,C4
2025-01-24,418,C4
2025-01-23,570,C4
2025-01-22,113,C2
2025-01-21,43,C4
2025-01-20,714,C3
2025-01-19,961,C1
2025-01-18,125,C2
2025-01-17,167,C4
2025-01-16,554,C4
2025-01-15,430,C4
2025-01-14,199,C2
2025-01-13,552,C4
2025-01-12,162,C4
2025-01-11,251,C2
2025-01-10,121,C2
2025-01-09,829,C1
2025-01-08,60,C4
2025-01-07,263,C3
2025-01-06,496,C4
2025-01-05,316,C2
2025-01-04,727,C2
2025-01-03,881,C4
2025-01-02,415,C3
2025-01-01,722,C4
2024-12-31,473,C3
2024-12-30,402,C2
2024-12-29,619,C4
2024-12-28,709,C1
2024-12-27,106,C3
2024-12-26,322,C2
2024-12-25,12,C1
2024-12-24,975,C4
2024-12-23,947,C2
2024-12-22,553,C1
2024-12-21,496,C3
2024-12-20,682,C3
2024-12-19,510,C4
2024-12-18,387,C3
2024-12-17,338,C1
2024-12-16,475,C1
2024-12-15,832,C1
2024-12-14,467,C3
2024-12-13,912,C1
2024-12-12,301,C4
2024-12-11,832,C3
2024-12-10,563,C1
2024-12-09,850,C4
2024-12-08,749,C4
2024-12-07,382,C2
2024-12-06,579,C2
2024-12-05,990,C2
2024-12-04,525,C3
2024-12-03,22,C4
2024-12-02,264,C4
2024-12-01,344,C1
2024-11-30,640,C4
2024-11-29,770,C1
2024-11-28,372,C2
2024-11-27,487,C3
2024-11-26,965,C2
2024-11-25,183,C3
2024-11-24,187,C1
2024-11-23,938,C3
2024-11-22,998,C3
2024-11-21,751,C3
2024-11-20,620,C4
2024-11-19,555,C4
2024-11-18,552,C1
2024-11-17,31,C3
2024-11-16,150,C3
2024-11-15,186,C3
2024-11-14,966,C2
2024-11-13,936,C4
2024-11-12,415,C2
2024-11-11,905,C3
2024-11-10,707,C2
2024-11-09,776,C4
2024-11-08,547,C1
2024-11-07,919,C4
2024-11-06,554,C4
2024-11-05,813,C3
2024-11-04,43,C3
2024-11-03,552,C1
2024-11-02,127,C3
2024-11-01,899,C3
2024-10-31,309,C3
2024-10-30,899,C3
